ligand,best_affinity_kcal_per_mol,out_pdbqt,log_path,success
ligand_333,-9.866,vina_docking_output/ligand_333_out.pdbqt,vina_docking_output/ligand_333.log,True
ligand_334,-8.82,vina_docking_output/ligand_334_out.pdbqt,vina_docking_output/ligand_334.log,True
ligand_337,-8.62,vina_docking_output/ligand_337_out.pdbqt,vina_docking_output/ligand_337.log,True
ligand_338,-9.284,vina_docking_output/ligand_338_out.pdbqt,vina_docking_output/ligand_338.log,True
ligand_340,-8.803,vina_docking_output/ligand_340_out.pdbqt,vina_docking_output/ligand_340.log,True
ligand_344,-8.963,vina_docking_output/ligand_344_out.pdbqt,vina_docking_output/ligand_344.log,True
ligand_351,-9.33,vina_docking_output/ligand_351_out.pdbqt,vina_docking_output/ligand_351.log,True
ligand_354,-9.975,vina_docking_output/ligand_354_out.pdbqt,vina_docking_output/ligand_354.log,True
ligand_367,-9.003,vina_docking_output/ligand_367_out.pdbqt,vina_docking_output/ligand_367.log,True
ligand_371,-8.955,vina_docking_output/ligand_371_out.pdbqt,vina_docking_output/ligand_371.log,True
ligand_372,-9.864,vina_docking_output/ligand_372_out.pdbqt,vina_docking_output/ligand_372.log,True
ligand_376,-8.867,vina_docking_output/ligand_376_out.pdbqt,vina_docking_output/ligand_376.log,True
ligand_379,-9.593,vina_docking_output/ligand_379_out.pdbqt,vina_docking_output/ligand_379.log,True
ligand_387,-9.294,vina_docking_output/ligand_387_out.pdbqt,vina_docking_output/ligand_387.log,True
ligand_389,-8.698,vina_docking_output/ligand_389_out.pdbqt,vina_docking_output/ligand_389.log,True
ligand_391,-9.663,vina_docking_output/ligand_391_out.pdbqt,vina_docking_output/ligand_391.log,True
ligand_393,-9.248,vina_docking_output/ligand_393_out.pdbqt,vina_docking_output/ligand_393.log,True
ligand_397,-8.521,vina_docking_output/ligand_397_out.pdbqt,vina_docking_output/ligand_397.log,True
ligand_399,-8.778,vina_docking_output/ligand_399_out.pdbqt,vina_docking_output/ligand_399.log,True
ligand_404,-9.056,vina_docking_output/ligand_404_out.pdbqt,vina_docking_output/ligand_404.log,True
ligand_406,-8.644,vina_docking_output/ligand_406_out.pdbqt,vina_docking_output/ligand_406.log,True
ligand_408,-9.278,vina_docking_output/ligand_408_out.pdbqt,vina_docking_output/ligand_408.log,True
ligand_412,-9.194,vina_docking_output/ligand_412_out.pdbqt,vina_docking_output/ligand_412.log,True
ligand_421,-10.31,vina_docking_output/ligand_421_out.pdbqt,vina_docking_output/ligand_421.log,True
ligand_425,-8.182,vina_docking_output/ligand_425_out.pdbqt,vina_docking_output/ligand_425.log,True
ligand_426,-9.576,vina_docking_output/ligand_426_out.pdbqt,vina_docking_output/ligand_426.log,True
ligand_427,-9.516,vina_docking_output/ligand_427_out.pdbqt,vina_docking_output/ligand_427.log,True
ligand_428,-8.482,vina_docking_output/ligand_428_out.pdbqt,vina_docking_output/ligand_428.log,True
ligand_431,-8.916,vina_docking_output/ligand_431_out.pdbqt,vina_docking_output/ligand_431.log,True
ligand_435,-8.469,vina_docking_output/ligand_435_out.pdbqt,vina_docking_output/ligand_435.log,True
ligand_441,-7.997,vina_docking_output/ligand_441_out.pdbqt,vina_docking_output/ligand_441.log,True
ligand_442,-8.745,vina_docking_output/ligand_442_out.pdbqt,vina_docking_output/ligand_442.log,True
ligand_443,-9.15,vina_docking_output/ligand_443_out.pdbqt,vina_docking_output/ligand_443.log,True
ligand_445,-9.618,vina_docking_output/ligand_445_out.pdbqt,vina_docking_output/ligand_445.log,True
ligand_452,-9.554,vina_docking_output/ligand_452_out.pdbqt,vina_docking_output/ligand_452.log,True
ligand_463,-8.059,vina_docking_output/ligand_463_out.pdbqt,vina_docking_output/ligand_463.log,True
ligand_465,-9.241,vina_docking_output/ligand_465_out.pdbqt,vina_docking_output/ligand_465.log,True
ligand_470,-9.709,vina_docking_output/ligand_470_out.pdbqt,vina_docking_output/ligand_470.log,True
ligand_472,-10.38,vina_docking_output/ligand_472_out.pdbqt,vina_docking_output/ligand_472.log,True
ligand_475,-8.107,vina_docking_output/ligand_475_out.pdbqt,vina_docking_output/ligand_475.log,True
ligand_478,-9.446,vina_docking_output/ligand_478_out.pdbqt,vina_docking_output/ligand_478.log,True
ligand_479,-8.741,vina_docking_output/ligand_479_out.pdbqt,vina_docking_output/ligand_479.log,True
ligand_48,-8.963,vina_docking_output/ligand_48_out.pdbqt,vina_docking_output/ligand_48.log,True
ligand_484,-9.473,vina_docking_output/ligand_484_out.pdbqt,vina_docking_output/ligand_484.log,True
ligand_487,-8.644,vina_docking_output/ligand_487_out.pdbqt,vina_docking_output/ligand_487.log,True
ligand_494,-9.125,vina_docking_output/ligand_494_out.pdbqt,vina_docking_output/ligand_494.log,True
ligand_495,-8.965,vina_docking_output/ligand_495_out.pdbqt,vina_docking_output/ligand_495.log,True
ligand_496,-8.023,vina_docking_output/ligand_496_out.pdbqt,vina_docking_output/ligand_496.log,True
ligand_498,-8.807,vina_docking_output/ligand_498_out.pdbqt,vina_docking_output/ligand_498.log,True
ligand_5,-8.651,vina_docking_output/ligand_5_out.pdbqt,vina_docking_output/ligand_5.log,True
ligand_505,-8.687,vina_docking_output/ligand_505_out.pdbqt,vina_docking_output/ligand_505.log,True
ligand_508,-9.505,vina_docking_output/ligand_508_out.pdbqt,vina_docking_output/ligand_508.log,True
ligand_510,-8.699,vina_docking_output/ligand_510_out.pdbqt,vina_docking_output/ligand_510.log,True
ligand_512,-8.596,vina_docking_output/ligand_512_out.pdbqt,vina_docking_output/ligand_512.log,True
ligand_515,-9.715,vina_docking_output/ligand_515_out.pdbqt,vina_docking_output/ligand_515.log,True
ligand_516,-8.849,vina_docking_output/ligand_516_out.pdbqt,vina_docking_output/ligand_516.log,True
ligand_521,-9.14,vina_docking_output/ligand_521_out.pdbqt,vina_docking_output/ligand_521.log,True
ligand_523,-9.691,vina_docking_output/ligand_523_out.pdbqt,vina_docking_output/ligand_523.log,True
ligand_529,-8.288,vina_docking_output/ligand_529_out.pdbqt,vina_docking_output/ligand_529.log,True
ligand_530,-9.202,vina_docking_output/ligand_530_out.pdbqt,vina_docking_output/ligand_530.log,True
ligand_543,-8.608,vina_docking_output/ligand_543_out.pdbqt,vina_docking_output/ligand_543.log,True
ligand_546,-8.246,vina_docking_output/ligand_546_out.pdbqt,vina_docking_output/ligand_546.log,True
ligand_556,-8.817,vina_docking_output/ligand_556_out.pdbqt,vina_docking_output/ligand_556.log,True
ligand_557,-10.25,vina_docking_output/ligand_557_out.pdbqt,vina_docking_output/ligand_557.log,True
ligand_559,-8.55,vina_docking_output/ligand_559_out.pdbqt,vina_docking_output/ligand_559.log,True
ligand_563,-8.544,vina_docking_output/ligand_563_out.pdbqt,vina_docking_output/ligand_563.log,True
ligand_567,-8.757,vina_docking_output/ligand_567_out.pdbqt,vina_docking_output/ligand_567.log,True
ligand_572,-9.571,vina_docking_output/ligand_572_out.pdbqt,vina_docking_output/ligand_572.log,True
ligand_580,-8.438,vina_docking_output/ligand_580_out.pdbqt,vina_docking_output/ligand_580.log,True
ligand_586,-9.724,vina_docking_output/ligand_586_out.pdbqt,vina_docking_output/ligand_586.log,True
ligand_593,-8.472,vina_docking_output/ligand_593_out.pdbqt,vina_docking_output/ligand_593.log,True
ligand_595,-9.354,vina_docking_output/ligand_595_out.pdbqt,vina_docking_output/ligand_595.log,True
ligand_599,-8.707,vina_docking_output/ligand_599_out.pdbqt,vina_docking_output/ligand_599.log,True
ligand_600,-9.34,vina_docking_output/ligand_600_out.pdbqt,vina_docking_output/ligand_600.log,True
ligand_602,-9.338,vina_docking_output/ligand_602_out.pdbqt,vina_docking_output/ligand_602.log,True
ligand_605,-9.614,vina_docking_output/ligand_605_out.pdbqt,vina_docking_output/ligand_605.log,True
ligand_607,-8.787,vina_docking_output/ligand_607_out.pdbqt,vina_docking_output/ligand_607.log,True
ligand_611,-9.238,vina_docking_output/ligand_611_out.pdbqt,vina_docking_output/ligand_611.log,True
ligand_62,-8.637,vina_docking_output/ligand_62_out.pdbqt,vina_docking_output/ligand_62.log,True
ligand_621,-9.026,vina_docking_output/ligand_621_out.pdbqt,vina_docking_output/ligand_621.log,True
ligand_623,-9.559,vina_docking_output/ligand_623_out.pdbqt,vina_docking_output/ligand_623.log,True
ligand_625,-10.7,vina_docking_output/ligand_625_out.pdbqt,vina_docking_output/ligand_625.log,True
ligand_627,-10.12,vina_docking_output/ligand_627_out.pdbqt,vina_docking_output/ligand_627.log,True
ligand_628,-9.528,vina_docking_output/ligand_628_out.pdbqt,vina_docking_output/ligand_628.log,True
ligand_631,-8.932,vina_docking_output/ligand_631_out.pdbqt,vina_docking_output/ligand_631.log,True
ligand_632,-9.415,vina_docking_output/ligand_632_out.pdbqt,vina_docking_output/ligand_632.log,True
ligand_633,-9.194,vina_docking_output/ligand_633_out.pdbqt,vina_docking_output/ligand_633.log,True
ligand_636,-8.183,vina_docking_output/ligand_636_out.pdbqt,vina_docking_output/ligand_636.log,True
ligand_638,-9.245,vina_docking_output/ligand_638_out.pdbqt,vina_docking_output/ligand_638.log,True
ligand_643,-8.928,vina_docking_output/ligand_643_out.pdbqt,vina_docking_output/ligand_643.log,True
ligand_644,-8.81,vina_docking_output/ligand_644_out.pdbqt,vina_docking_output/ligand_644.log,True
ligand_645,-8.875,vina_docking_output/ligand_645_out.pdbqt,vina_docking_output/ligand_645.log,True
ligand_647,-9.432,vina_docking_output/ligand_647_out.pdbqt,vina_docking_output/ligand_647.log,True
ligand_650,-8.994,vina_docking_output/ligand_650_out.pdbqt,vina_docking_output/ligand_650.log,True
ligand_656,-8.761,vina_docking_output/ligand_656_out.pdbqt,vina_docking_output/ligand_656.log,True
ligand_657,-8.036,vina_docking_output/ligand_657_out.pdbqt,vina_docking_output/ligand_657.log,True
ligand_660,-9.089,vina_docking_output/ligand_660_out.pdbqt,vina_docking_output/ligand_660.log,True
ligand_663,-8.885,vina_docking_output/ligand_663_out.pdbqt,vina_docking_output/ligand_663.log,True
ligand_668,-8.573,vina_docking_output/ligand_668_out.pdbqt,vina_docking_output/ligand_668.log,True
ligand_671,-8.386,vina_docking_output/ligand_671_out.pdbqt,vina_docking_output/ligand_671.log,True
ligand_672,-9.367,vina_docking_output/ligand_672_out.pdbqt,vina_docking_output/ligand_672.log,True
ligand_673,-8.863,vina_docking_output/ligand_673_out.pdbqt,vina_docking_output/ligand_673.log,True
ligand_678,-9.726,vina_docking_output/ligand_678_out.pdbqt,vina_docking_output/ligand_678.log,True
ligand_679,-9.238,vina_docking_output/ligand_679_out.pdbqt,vina_docking_output/ligand_679.log,True
ligand_680,-8.966,vina_docking_output/ligand_680_out.pdbqt,vina_docking_output/ligand_680.log,True
ligand_685,-9.348,vina_docking_output/ligand_685_out.pdbqt,vina_docking_output/ligand_685.log,True
ligand_689,-8.436,vina_docking_output/ligand_689_out.pdbqt,vina_docking_output/ligand_689.log,True
ligand_692,-9.824,vina_docking_output/ligand_692_out.pdbqt,vina_docking_output/ligand_692.log,True
ligand_693,-9.053,vina_docking_output/ligand_693_out.pdbqt,vina_docking_output/ligand_693.log,True
ligand_696,-7.488,vina_docking_output/ligand_696_out.pdbqt,vina_docking_output/ligand_696.log,True
ligand_697,-8.726,vina_docking_output/ligand_697_out.pdbqt,vina_docking_output/ligand_697.log,True
ligand_698,-9.143,vina_docking_output/ligand_698_out.pdbqt,vina_docking_output/ligand_698.log,True
ligand_704,-9.33,vina_docking_output/ligand_704_out.pdbqt,vina_docking_output/ligand_704.log,True
ligand_707,-8.551,vina_docking_output/ligand_707_out.pdbqt,vina_docking_output/ligand_707.log,True
ligand_709,-9.283,vina_docking_output/ligand_709_out.pdbqt,vina_docking_output/ligand_709.log,True
ligand_713,-9.865,vina_docking_output/ligand_713_out.pdbqt,vina_docking_output/ligand_713.log,True
ligand_717,-9.27,vina_docking_output/ligand_717_out.pdbqt,vina_docking_output/ligand_717.log,True
ligand_720,-8.377,vina_docking_output/ligand_720_out.pdbqt,vina_docking_output/ligand_720.log,True
ligand_721,-8.108,vina_docking_output/ligand_721_out.pdbqt,vina_docking_output/ligand_721.log,True
ligand_723,-9.157,vina_docking_output/ligand_723_out.pdbqt,vina_docking_output/ligand_723.log,True
ligand_727,-8.221,vina_docking_output/ligand_727_out.pdbqt,vina_docking_output/ligand_727.log,True
ligand_728,-8.847,vina_docking_output/ligand_728_out.pdbqt,vina_docking_output/ligand_728.log,True
ligand_732,-8.963,vina_docking_output/ligand_732_out.pdbqt,vina_docking_output/ligand_732.log,True
ligand_733,-9.03,vina_docking_output/ligand_733_out.pdbqt,vina_docking_output/ligand_733.log,True
ligand_735,-9.582,vina_docking_output/ligand_735_out.pdbqt,vina_docking_output/ligand_735.log,True
ligand_738,-8.709,vina_docking_output/ligand_738_out.pdbqt,vina_docking_output/ligand_738.log,True
ligand_739,-8.727,vina_docking_output/ligand_739_out.pdbqt,vina_docking_output/ligand_739.log,True
ligand_74,-9.984,vina_docking_output/ligand_74_out.pdbqt,vina_docking_output/ligand_74.log,True
ligand_744,-8.674,vina_docking_output/ligand_744_out.pdbqt,vina_docking_output/ligand_744.log,True
ligand_745,-8.662,vina_docking_output/ligand_745_out.pdbqt,vina_docking_output/ligand_745.log,True
ligand_747,-8.873,vina_docking_output/ligand_747_out.pdbqt,vina_docking_output/ligand_747.log,True
ligand_750,-9.153,vina_docking_output/ligand_750_out.pdbqt,vina_docking_output/ligand_750.log,True
ligand_756,-9.759,vina_docking_output/ligand_756_out.pdbqt,vina_docking_output/ligand_756.log,True
ligand_757,-9.076,vina_docking_output/ligand_757_out.pdbqt,vina_docking_output/ligand_757.log,True
ligand_762,-8.936,vina_docking_output/ligand_762_out.pdbqt,vina_docking_output/ligand_762.log,True
ligand_765,-8.8,vina_docking_output/ligand_765_out.pdbqt,vina_docking_output/ligand_765.log,True
ligand_768,-8.832,vina_docking_output/ligand_768_out.pdbqt,vina_docking_output/ligand_768.log,True
ligand_775,-9.265,vina_docking_output/ligand_775_out.pdbqt,vina_docking_output/ligand_775.log,True
ligand_778,-8.904,vina_docking_output/ligand_778_out.pdbqt,vina_docking_output/ligand_778.log,True
ligand_781,-8.692,vina_docking_output/ligand_781_out.pdbqt,vina_docking_output/ligand_781.log,True
ligand_783,-8.85,vina_docking_output/ligand_783_out.pdbqt,vina_docking_output/ligand_783.log,True
ligand_785,-9.499,vina_docking_output/ligand_785_out.pdbqt,vina_docking_output/ligand_785.log,True
ligand_788,-8.799,vina_docking_output/ligand_788_out.pdbqt,vina_docking_output/ligand_788.log,True
ligand_789,-9.723,vina_docking_output/ligand_789_out.pdbqt,vina_docking_output/ligand_789.log,True
ligand_790,-8.202,vina_docking_output/ligand_790_out.pdbqt,vina_docking_output/ligand_790.log,True
ligand_795,-9.445,vina_docking_output/ligand_795_out.pdbqt,vina_docking_output/ligand_795.log,True
ligand_796,-8.328,vina_docking_output/ligand_796_out.pdbqt,vina_docking_output/ligand_796.log,True
ligand_799,-8.644,vina_docking_output/ligand_799_out.pdbqt,vina_docking_output/ligand_799.log,True
ligand_801,-8.434,vina_docking_output/ligand_801_out.pdbqt,vina_docking_output/ligand_801.log,True
ligand_802,-9.405,vina_docking_output/ligand_802_out.pdbqt,vina_docking_output/ligand_802.log,True
ligand_803,-8.93,vina_docking_output/ligand_803_out.pdbqt,vina_docking_output/ligand_803.log,True
ligand_804,-9.231,vina_docking_output/ligand_804_out.pdbqt,vina_docking_output/ligand_804.log,True
ligand_811,-9.63,vina_docking_output/ligand_811_out.pdbqt,vina_docking_output/ligand_811.log,True
ligand_814,-8.509,vina_docking_output/ligand_814_out.pdbqt,vina_docking_output/ligand_814.log,True
ligand_817,-8.87,vina_docking_output/ligand_817_out.pdbqt,vina_docking_output/ligand_817.log,True
