Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x15e48ec70>,COCCOc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____789176____10803818,391.4,2.743557094333333,9,8,3,397,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420d60>,<rdkit.Chem.rdchem.Mol object at 0x177c437d0>
<rdkit.Chem.rdchem.Mol object at 0x169bb2b90>,CCOc1ccc(C(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____790508____10803818,374.4,4.1871304789999995,7,6,3,1313,0.6296296296296297,<rdkit.Chem.rdchem.Mol object at 0x175420dd0>,<rdkit.Chem.rdchem.Mol object at 0x177c43840>
<rdkit.Chem.rdchem.Mol object at 0x169bb3e60>,c1ccc(Nc2nc(NCC3CC(=C4CCC4)C3)nc3nc[nH]c23)cc1,s_27____17317656____10803818,346.4,3.6223039003333337,5,5,3,1333,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175420e40>,<rdkit.Chem.rdchem.Mol object at 0x177c438b0>
<rdkit.Chem.rdchem.Mol object at 0x15e46aea0>,C=CCC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)CC(C)C,s_27____25523452____10803818,350.5,4.852554594,9,5,3,334,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175420eb0>,<rdkit.Chem.rdchem.Mol object at 0x177c43920>
<rdkit.Chem.rdchem.Mol object at 0x15e4aef80>,C=CCCCC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CC1,s_27____17523788____10803818,348.5,4.5963383496666665,9,5,3,463,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175420f20>,<rdkit.Chem.rdchem.Mol object at 0x177c435a0>
<rdkit.Chem.rdchem.Mol object at 0x15e4afa70>,CC(C)C1=CCC(Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC1,s_27____25523652____10803818,348.5,4.259243556,5,5,3,475,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175420f90>,<rdkit.Chem.rdchem.Mol object at 0x177c43990>
<rdkit.Chem.rdchem.Mol object at 0x16939e260>,C1=C[C@@H]2C[C@H]1C[C@@H]2CCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____16488634____10803818,346.4,3.631665819666666,6,5,3,778,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175421000>,<rdkit.Chem.rdchem.Mol object at 0x177c43a00>
<rdkit.Chem.rdchem.Mol object at 0x16939f840>,C1=CC2CCC1CC2CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____11352402____10803818,346.4,3.709619549666667,5,5,3,802,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175421070>,<rdkit.Chem.rdchem.Mol object at 0x177c43a70>
<rdkit.Chem.rdchem.Mol object at 0x169b89a10>,CC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1=CCCC1,s_27____10891218____10803818,348.5,4.220669381333335,6,5,3,1231,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x1754210e0>,<rdkit.Chem.rdchem.Mol object at 0x177c43ae0>
<rdkit.Chem.rdchem.Mol object at 0x15e4ac3c0>,C1=C[C@H]2C[C@@H](C1)C[C@H](Nc1nc(Nc3ccccc3)c3[nH]cnc3n1)C2,s_27____25522204____10803818,346.4,3.839175478,4,5,3,421,0.6170212765957447,<rdkit.Chem.rdchem.Mol object at 0x175421150>,<rdkit.Chem.rdchem.Mol object at 0x177c43b50>
