SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
C[C@H]1c2ccccc2O[C@H]1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____13712244____10803818,372.4,3.955624,5,6,3,0.692308,523,<rdkit.Chem.rdchem.Mol object at 0x177c72030>,<rdkit.Chem.rdchem.Mol object at 0x177cbd800>,4.471369328560408
CC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1COc2ccccc21,s_27____7794114____10803818,372.4,3.607412,5,6,3,0.692308,981,<rdkit.Chem.rdchem.Mol object at 0x177c72110>,<rdkit.Chem.rdchem.Mol object at 0x177ce33d0>,5.028229197139484
CC(C)(C)Oc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____8376184____10803818,389.5,3.844492,7,7,3,0.692308,33,<rdkit.Chem.rdchem.Mol object at 0x177c721f0>,<rdkit.Chem.rdchem.Mol object at 0x177cbd940>,5.083369408959638
CCCOc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____4146616____10803818,375.4,3.669863,8,7,3,0.692308,775,<rdkit.Chem.rdchem.Mol object at 0x177c722d0>,<rdkit.Chem.rdchem.Mol object at 0x177cbd490>,5.3217137788016275
c1ccc(Nc2nc(NCCCc3ccc4c(c3)OCCO4)nc3[nH]cnc23)cc1,s_27____7048798____10803818,402.5,3.817781,7,7,3,0.692308,811,<rdkit.Chem.rdchem.Mol object at 0x177c723b0>,<rdkit.Chem.rdchem.Mol object at 0x177cbda80>,4.961676244738883
c1ccc(Nc2nc(NCCC3CCOc4ccccc43)nc3[nH]cnc23)cc1,s_27____14410912____10803818,386.5,3.960464,6,6,3,0.692308,1385,<rdkit.Chem.rdchem.Mol object at 0x177c72490>,<rdkit.Chem.rdchem.Mol object at 0x177cbd7b0>,5.202458582278427
CCOc1ccccc1CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25525286____10803818,388.5,4.503785,9,6,3,0.692308,510,<rdkit.Chem.rdchem.Mol object at 0x177c72570>,<rdkit.Chem.rdchem.Mol object at 0x177cbdbc0>,4.591084698906308
CC(C)COc1ccc(CCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____4003554____10803818,402.5,4.946712,9,6,3,0.692308,478,<rdkit.Chem.rdchem.Mol object at 0x177c72650>,<rdkit.Chem.rdchem.Mol object at 0x177cbdd00>,4.996158980605321
CNc1nc(NCc2ccccc2OCC2CCCCC2)nc2[nH]cnc12,s_27____14946364____23832304,366.5,3.560883,7,6,3,0.68,835,<rdkit.Chem.rdchem.Mol object at 0x177c72730>,<rdkit.Chem.rdchem.Mol object at 0x177cbdd50>,5.006663194217857
Fc1ccc(OCCN2CCC(Nc3nc(Nc4ccccc4)c4[nH]cnc4n3)CC2)cc1,s_27____6894020____10803818,447.5,3.660503,8,7,3,0.679245,1214,<rdkit.Chem.rdchem.Mol object at 0x177c72810>,<rdkit.Chem.rdchem.Mol object at 0x177cbddf0>,6.112091322488023
