ID,SMILES_Prepared,Molecule_Prepared,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,aligned_mol,RMSD
,COC[C@@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)[C@@H]1CCCO1,<rdkit.Chem.rdchem.Mol object at 0x16483af80>,COCC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCO1,s_27____9452206____10803818,354.4,2.278326238000001,7,7,3,1052,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb290>,5.192283206801814
,CC1(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x16483b060>,CC1(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCC1,s_27____13599068____10803818,352.4,3.435248674666667,7,6,3,1177,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb220>,5.278563472953247
,COC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x16483b140>,COC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCCCC1,s_27____16919926____10803818,380.5,4.412146714999999,6,6,3,1178,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb1b0>,5.070435651184164
,c1ccc(Nc2nc(NCCCOC[C@H]3CCCO3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483b220>,c1ccc(Nc2nc(NCCCOCC3CCCO3)nc3nc[nH]c23)cc1,s_27____134549____10803818,368.4,2.2785189070000005,9,7,3,1043,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb140>,4.593083136686211
,c1ccc(Nc2nc(NC[C@H]3CO[C@@H]4CCC[C@H]4O3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483b300>,c1ccc(Nc2nc(NCC3COC4CCCC4O3)nc3nc[nH]c23)cc1,s_27____25524022____10803818,366.4,2.6111370296666667,5,7,3,1042,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb0d0>,4.973505826101979
,c1ccc(Nc2nc(NC[C@]34COC[C@H](COC3)O4)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483b450>,c1ccc(Nc2nc(NCC34COCC(COC3)O4)nc3nc[nH]c23)cc1,s_27____23817912____10803818,368.4,1.40627209,5,8,3,1034,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbb060>,4.949212022411932
,CO[C@](C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x16483b530>,COC(C)(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOCC1,s_27____20762476____10803818,382.5,2.5621007229999995,7,7,3,1217,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaff0>,4.984355425884735
,CCO[C@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x16483b610>,CCOC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOCC1,s_27____17645768____10803818,382.5,2.6383320093333333,8,7,3,895,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaf80>,5.136354993886201
,CO[C@@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)[C@H]1CCCOC1,<rdkit.Chem.rdchem.Mol object at 0x16483b6f0>,COC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCCOC1,s_27____13903878____10803818,368.4,2.323080781666667,7,7,3,693,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaf10>,5.2450270888336386
,c1ccc(Nc2nc(NC[C@H]3CCC4(CCOCC4)O3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483b7d0>,c1ccc(Nc2nc(NCC3CCC4(CCOCC4)O3)nc3nc[nH]c23)cc1,s_27____13214796____10803818,380.5,2.150489486333332,5,7,3,894,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbae30>,4.781535573123127
,N[C@]12CC[C@](CNc3nc(Nc4ccccc4)c4[nH]cnc4n3)(CC1)OC2,<rdkit.Chem.rdchem.Mol object at 0x16483b8b0>,NC12CCC(CNc3nc(Nc4ccccc4)c4[nH]cnc4n3)(CC1)OC2,s_270166____16816618____17625750,365.4,1.6216598842332903,5,7,4,1260,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaea0>,4.884064999008038
,CC(C)(C)[C@@H]1OCC[C@H]1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x16483b990>,CC(C)(C)[C@@H]1OCC[C@H]1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25525998____10803818,366.5,3.547791651,6,6,3,768,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbadc0>,4.609200454784444
,c1ccc(Nc2nc(NCCCC3CCOCC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483ba70>,c1ccc(Nc2nc(NCCCC3CCOCC3)nc3nc[nH]c23)cc1,s_27____10639884____10803818,352.4,3.0799160929999996,7,6,3,757,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbace0>,4.689468610617451
